block_id,pipeline,model,n_features_before,n_features_after,best_params,accuracy,macro_f1,fit_runtime_sec,inference_runtime_sec
0,pca_90,KNeighborsClassifier,784,129,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.815,0.8168582735449237,5.948560099997849,0.12385470000299392
0,pca_90,LogisticRegression,784,129,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.838,0.8368737105486916,17.69199550000485,0.006585600000107661
0,pca_90,RandomForestClassifier,784,129,"{'max_depth': 20, 'n_estimators': 100}",0.824,0.8213982136891907,68.6618662999972,0.02488380000431789
1,pca_90,KNeighborsClassifier,784,128,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}",0.811,0.8105223690698402,5.837290999996185,0.030806399998255074
1,pca_90,LogisticRegression,784,128,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.83,0.8287659564451962,17.04886780000379,0.007591899993713014
1,pca_90,RandomForestClassifier,784,128,"{'max_depth': 20, 'n_estimators': 100}",0.825,0.8217573891735219,68.94357480000326,0.02579909999622032
2,pca_90,KNeighborsClassifier,784,130,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.824,0.8240749207357061,5.928667899999709,0.028101499992772005
2,pca_90,LogisticRegression,784,130,"{'C': 0.1, 'max_iter': 500, 'solver': 'lbfgs'}",0.824,0.822724164398809,17.97501000000193,0.0065128999995067716
2,pca_90,RandomForestClassifier,784,130,"{'max_depth': 20, 'n_estimators': 100}",0.832,0.829632133534272,69.02050060000329,0.02560819999780506
3,pca_90,KNeighborsClassifier,784,126,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}",0.816,0.8169544417723221,5.787884799996391,0.12419600000430364
3,pca_90,LogisticRegression,784,126,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.825,0.8227084603349482,17.3811330999888,0.008703400009835605
3,pca_90,RandomForestClassifier,784,126,"{'max_depth': 20, 'n_estimators': 100}",0.837,0.8339451507326132,68.90173249999498,0.02748230000725016
4,pca_90,KNeighborsClassifier,784,127,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}",0.814,0.8140603392455261,5.741702200000873,0.06856289999996079
4,pca_90,LogisticRegression,784,127,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.823,0.8242253643609688,17.141738500002248,0.006783099997846875
4,pca_90,RandomForestClassifier,784,127,"{'max_depth': 20, 'n_estimators': 100}",0.824,0.8224070690178295,68.14326789999905,0.03128589999687392
5,pca_90,KNeighborsClassifier,784,127,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.823,0.8226841042577094,5.830216199996357,0.12529370000993367
5,pca_90,LogisticRegression,784,127,"{'C': 0.1, 'max_iter': 500, 'solver': 'lbfgs'}",0.828,0.8271036524591967,17.895849200001976,0.008755000009841751
5,pca_90,RandomForestClassifier,784,127,"{'max_depth': 20, 'n_estimators': 100}",0.813,0.8090655769486936,69.51989800000592,0.02701790000719484
6,pca_90,KNeighborsClassifier,784,127,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.819,0.8207516419937934,5.81438530000014,0.12326500000199303
6,pca_90,LogisticRegression,784,127,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.823,0.8222029643866445,17.749746599998616,0.006643100001383573
6,pca_90,RandomForestClassifier,784,127,"{'max_depth': 20, 'n_estimators': 100}",0.813,0.8106723151074953,78.87793349999993,0.02511699999740813
7,pca_90,KNeighborsClassifier,784,128,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.815,0.8154531913646711,6.206407399993623,0.13039410000055796
7,pca_90,LogisticRegression,784,128,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.816,0.8151988808015547,19.171169099994586,0.007363999997323845
7,pca_90,RandomForestClassifier,784,128,"{'max_depth': 20, 'n_estimators': 100}",0.822,0.817620893721795,80.60502879999694,0.025489999999990687
8,pca_90,KNeighborsClassifier,784,124,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.825,0.826814708199557,5.959234100002504,0.12110409999877447
8,pca_90,LogisticRegression,784,124,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.819,0.8180864640894638,18.718615099998715,0.006708900000376161
8,pca_90,RandomForestClassifier,784,124,"{'max_depth': 20, 'n_estimators': 100}",0.826,0.8232931585987515,81.91800280000461,0.028442800001357682
9,pca_90,KNeighborsClassifier,784,129,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}",0.827,0.8280435757818762,6.218977899996389,0.1319398000050569
9,pca_90,LogisticRegression,784,129,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.837,0.8355359487528023,19.288303699991957,0.007278200006112456
9,pca_90,RandomForestClassifier,784,129,"{'max_depth': 20, 'n_estimators': 100}",0.831,0.8281198845065539,80.4813462999955,0.02651540000078967
